frame    mol0    mol1
  986   7.449   6.101
  987   7.471   6.161
  988   7.520   6.119
  989   7.531   6.174
  990   7.633   6.180
  991   7.642   6.247
  992   7.626   6.184
  993   7.608   6.184
  994   7.660   6.185
  995   7.694   6.185
  996   7.709   6.076
  997   7.651   6.078
  998   7.720   6.215
  999   7.695   6.366

